country,cluster,cluster_name,renewable_percent,fossil_percent,ghg_per_capita,energy_per_capita
Afghanistan,1,Fossil Dependent,7.152,87.331,0.0029999692503151843,1189.22
Albania,1,Fossil Dependent,7.152,87.331,0.07369349332073759,8944.888
Algeria,1,Fossil Dependent,0.238,99.762,1.2115430856601621,15808.98
American Samoa,2,Fossil Dependent,7.152,87.331,2.2335478892972445,32251.004
Angola,1,Fossil Dependent,7.152,87.331,0.08426862091100634,2491.884
Antarctica,1,Fossil Dependent,7.152,87.331,0.4258385916092484,13316.851
Antigua and Barbuda,2,Fossil Dependent,7.152,87.331,2.3820351241906494,32921.891
Argentina,1,Fossil Dependent,10.947,86.394,1.3755652385814512,20925.615
Armenia,1,Fossil Dependent,7.152,87.331,0.7142013539167325,15976.376
Aruba,2,Fossil Dependent,7.152,87.331,5.113187375075536,44880.773
Australia,2,Fossil Dependent,12.283,87.717,6.243157520546846,61230.445
Austria,0,Transitioning Nations,34.638,65.362,1.0070198090721667,45314.195
Azerbaijan,1,Fossil Dependent,1.93,98.07,1.8359700038263218,19302.547
Bahamas,2,Fossil Dependent,7.152,87.331,3.380585850482238,33613.324
Bangladesh,1,Fossil Dependent,0.671,99.329,0.38739379438085747,2937.336
Barbados,1,Fossil Dependent,7.152,87.331,2.2682407312241057,19102.555
Belarus,2,Fossil Dependent,1.106,94.335,1.9316062229931832,33803.074
Belgium,2,Fossil Dependent,9.202,73.882,1.1321560581195338,63805.598
Belize,1,Fossil Dependent,7.152,87.331,0.1517623401752855,9089.78
Benin,1,Fossil Dependent,7.152,87.331,0.04920444244545184,1837.102
Bermuda,2,Fossil Dependent,7.152,87.331,5.875804057397328,35751.664
Bhutan,1,Fossil Dependent,7.152,87.331,0.3352891869237217,18890.199
Bolivia,1,Fossil Dependent,7.152,87.331,0.4255544081782175,7936.341
Bosnia and Herzegovina,2,Fossil Dependent,7.152,87.331,3.494701859403275,20087.381
Botswana,1,Fossil Dependent,7.152,87.331,0.8786365559445801,9660.034
Brazil,0,Transitioning Nations,43.673,55.294,0.5264607339533592,17089.926
British Virgin Islands,2,Fossil Dependent,7.152,87.331,2.9075146036528956,20222.768
Bulgaria,2,Fossil Dependent,13.231,68.288,2.851442050292982,32263.266
Burkina Faso,1,Fossil Dependent,7.152,87.331,0.04273650186910819,1043.45
Burundi,1,Fossil Dependent,7.152,87.331,0.006941505552394599,272.584
Cambodia,1,Fossil Dependent,7.152,87.331,0.21149609094543995,3779.001
Cameroon,1,Fossil Dependent,7.152,87.331,0.09325389785503031,1339.79
Canada,0,Transitioning Nations,29.113,64.911,2.8056856834199397,100431.008
Cape Verde,1,Fossil Dependent,7.152,87.331,0.4451713425787034,5425.338
Cayman Islands,2,Fossil Dependent,7.152,87.331,6.417020791147364,40276.633
Central African Republic,1,Fossil Dependent,7.152,87.331,0.0,278.974
Chad,1,Fossil Dependent,7.152,87.331,0.015144483419987824,462.586
Chile,0,Transitioning Nations,23.421,76.579,1.9052932046820974,24509.102
China,2,Fossil Dependent,14.195,83.496,3.5840412411434266,30738.947
Colombia,0,Transitioning Nations,29.666,70.334,0.3227307932492376,11053.629
Comoros,1,Fossil Dependent,7.152,87.331,0.1100005133357289,1966.552
Congo,1,Fossil Dependent,7.152,87.331,0.46502257990114704,2078.873
Cook Islands,1,Fossil Dependent,7.152,87.331,0.6576783952647156,22827.029
Costa Rica,1,Fossil Dependent,7.152,87.331,0.06521750730386675,8936.604
Cote d'Ivoire,1,Fossil Dependent,7.152,87.331,0.16531860589721156,2234.778
Croatia,0,Transitioning Nations,28.683,71.317,0.8102722132432624,25050.172
Cuba,1,Fossil Dependent,7.152,87.331,1.024080824522627,6848.439
Cyprus,1,Fossil Dependent,7.388,92.612,2.193863104460526,22653.711
Czechia,2,Fossil Dependent,7.275,76.404,3.7480949716177006,44290.191
Democratic Republic of Congo,1,Fossil Dependent,7.152,87.331,0.003731759888886345,311.07
Denmark,0,Transitioning Nations,38.81,61.19,1.253249655868572,32756.869
Djibouti,1,Fossil Dependent,7.152,87.331,0.08026748694092581,2955.828
Dominica,1,Fossil Dependent,7.152,87.331,1.1900865787986077,10379.506
Dominican Republic,1,Fossil Dependent,7.152,87.331,1.076102083161025,10724.289
East Timor,1,Fossil Dependent,7.152,87.331,0.25182536355435203,1886.52
Ecuador,0,Transitioning Nations,31.038,68.962,0.27089000203252334,12023.042
Egypt,1,Fossil Dependent,5.908,94.092,1.0733887418824977,9564.884
El Salvador,1,Fossil Dependent,7.152,87.331,0.15825364702722922,6263.183
Equatorial Guinea,1,Fossil Dependent,7.152,87.331,0.4832851564365623,15327.771
Eritrea,1,Fossil Dependent,7.152,87.331,0.07163783492553397,801.942
Estonia,2,Fossil Dependent,14.297,85.703,2.4328890557537077,46137.703
Eswatini,1,Fossil Dependent,7.152,87.331,0.0580143510929075,5502.061
Ethiopia,1,Fossil Dependent,7.152,87.331,0.002947471441212338,585.118
Falkland Islands,2,Fossil Dependent,7.152,87.331,2.837684449489217,44464.52
Faroe Islands,2,Fossil Dependent,7.152,87.331,3.1880579101342734,64000.141
Fiji,1,Fossil Dependent,7.152,87.331,0.3163459209920608,6232.943
Finland,0,Transitioning Nations,35.036,46.498,1.7650023849188667,57854.73
France,0,Transitioning Nations,12.914,50.611,0.49800595600596315,39307.219
French Polynesia,1,Fossil Dependent,7.152,87.331,1.1079025617566332,9224.391
Gabon,1,Fossil Dependent,7.152,87.331,0.5469702267275739,6809.154
Gambia,1,Fossil Dependent,7.152,87.331,0.1281048441099916,792.09
Georgia,1,Fossil Dependent,7.152,87.331,0.4566511370085391,16113.435
Germany,2,Fossil Dependent,18.082,77.14,2.7292469462494986,42994.242
Ghana,1,Fossil Dependent,7.152,87.331,0.3247366081667198,3169.96
Gibraltar,2,Fossil Dependent,7.152,87.331,3.5248501938667607,13316.851
Greece,1,Fossil Dependent,19.2,80.8,1.9641646756420232,28596.289
Greenland,2,Fossil Dependent,7.152,87.331,1.070186390796397,45366.465
Grenada,1,Fossil Dependent,7.152,87.331,1.2853911016658668,12173.642
Guam,2,Fossil Dependent,7.152,87.331,6.656854422533147,45216.465
Guatemala,1,Fossil Dependent,7.152,87.331,0.25115559987208114,5868.567
Guinea,1,Fossil Dependent,7.152,87.331,0.051055704326205105,1526.843
Guinea-Bissau,1,Fossil Dependent,7.152,87.331,0.024285508205830367,689.97
Guyana,1,Fossil Dependent,7.152,87.331,0.8829112527039157,12204.829
Haiti,1,Fossil Dependent,7.152,87.331,0.0518699923478574,991.191
Honduras,1,Fossil Dependent,7.152,87.331,0.3158442745839335,4925.441
Hong Kong,2,Fossil Dependent,0.654,99.346,3.3468704556714024,32558.352
Hungary,1,Fossil Dependent,7.724,78.326,0.8869112907412642,29250.391
India,1,Fossil Dependent,8.657,90.204,0.8492905467147716,6749.358
Indonesia,1,Fossil Dependent,11.076,88.924,0.7650364475749895,7937.188
Iran,2,Fossil Dependent,1.14,98.602,2.658625258873135,38159.27
Iraq,1,Fossil Dependent,1.484,98.516,1.895465759864455,14358.384
Ireland,2,Fossil Dependent,17.799,82.201,2.221370177717569,35772.973
Israel,2,Fossil Dependent,4.889,95.111,4.937981700618086,32656.467
Italy,1,Fossil Dependent,18.014,81.986,1.62081112782186,29887.174
Jamaica,1,Fossil Dependent,7.152,87.331,0.8528093372050407,11227.207
Japan,2,Fossil Dependent,10.814,86.17,4.235620520673955,40020.164
Jordan,1,Fossil Dependent,7.152,87.331,1.0428003581305354,9195.323
Kazakhstan,2,Fossil Dependent,3.78,96.22,4.8567619888301055,41644.129
